candidate,fold_idx,train_start,train_end,test_start,test_end,chosen_params,oos_pf,oos_avg_trade_pct,oos_trades,oos_return_pct,oos_maxdd_pct
st-voladapt,5,2022-07-01,2024-06-30,2024-07-01,2024-12-31,"{""st_vol_lookback"": 100, ""st_mult_low"": 2.0, ""st_mult_high"": 4.0, ""st_period"": 10}",1.4347700870144304,0.5240243753197538,26,22.918663658475104,-11.30243842275288
st-voladapt,6,2023-01-01,2024-12-31,2025-01-01,2025-06-30,"{""st_vol_lookback"": 100, ""st_mult_low"": 2.0, ""st_mult_high"": 4.0, ""st_period"": 14}",0.8217848472856609,-0.32076954879598496,31,0.28343176788443447,-26.025821811757368
st-voladapt,7,2023-07-01,2025-06-30,2025-07-01,2025-12-31,"{""st_vol_lookback"": 100, ""st_mult_low"": 2.5, ""st_mult_high"": 4.5, ""st_period"": 14}",0.653284764256654,-0.43509866086025584,29,-6.0371737014064175,-19.901167014928834
st-adx-donchexit,0,2020-01-01,2021-12-31,2022-01-01,2022-06-30,"{""st_period"": 14, ""st_multiplier"": 3.5, ""st_adx_min"": 25, ""st_donch_period"": 20}",0.0,-3.421574447564546,8,-14.942659616851273,-14.837438827733674
st-adx-donchexit,1,2020-07-01,2022-06-30,2022-07-01,2022-12-31,"{""st_period"": 10, ""st_multiplier"": 3.5, ""st_adx_min"": 20, ""st_donch_period"": 20}",0.3924718852038683,-1.1106076683789934,11,-7.993119665032022,-12.892545300367097
st-adx-donchexit,2,2021-01-01,2022-12-31,2023-01-01,2023-06-30,"{""st_period"": 10, ""st_multiplier"": 2.5, ""st_adx_min"": 25, ""st_donch_period"": 20}",2.2142358824462915,1.520602246060787,10,10.933276863906816,-15.365847528126508
st-adx-donchexit,3,2021-07-01,2023-06-30,2023-07-01,2023-12-31,"{""st_period"": 10, ""st_multiplier"": 2.5, ""st_adx_min"": 25, ""st_donch_period"": 20}",0.2603395268007633,-1.0847786507602764,11,-10.252399641521482,-15.951523967859782
st-adx-donchexit,4,2022-01-01,2023-12-31,2024-01-01,2024-06-30,"{""st_period"": 10, ""st_multiplier"": 3.5, ""st_adx_min"": 25, ""st_donch_period"": 20}",3.92298945468852,4.43441796796491,6,23.534175894736098,-16.178292697140296
st-adx-donchexit,5,2022-07-01,2024-06-30,2024-07-01,2024-12-31,"{""st_period"": 14, ""st_multiplier"": 3.0, ""st_adx_min"": 25, ""st_donch_period"": 20}",1.5625497453657327,0.6930058810745265,8,7.901831817069582,-7.394245544122802
st-adx-donchexit,6,2023-01-01,2024-12-31,2025-01-01,2025-06-30,"{""st_period"": 10, ""st_multiplier"": 3.0, ""st_adx_min"": 25, ""st_donch_period"": 20}",0.2948495386190371,-1.4281724426438824,7,-5.613783900598845,-14.13008337255155
st-adx-donchexit,7,2023-07-01,2025-06-30,2025-07-01,2025-12-31,"{""st_period"": 10, ""st_multiplier"": 3.0, ""st_adx_min"": 25, ""st_donch_period"": 20}",1.9006501639987377,0.9188379614392783,7,13.112219430462524,-6.97692539394299
st-trail,0,2020-01-01,2021-12-31,2022-01-01,2022-06-30,"{""st_period"": 10, ""st_multiplier"": 3.5, ""st_trail_atr"": 4.0}",0.7572711538782412,-0.7625960200120074,15,-7.040215216264567,-13.392698720309127
st-trail,1,2020-07-01,2022-06-30,2022-07-01,2022-12-31,"{""st_period"": 10, ""st_multiplier"": 3.5, ""st_trail_atr"": 4.0}",0.7618429706710842,-0.4412025293929589,22,-7.487675032075758,-15.224819512981336
st-trail,2,2021-01-01,2022-12-31,2023-01-01,2023-06-30,"{""st_period"": 10, ""st_multiplier"": 3.0, ""st_trail_atr"": 4.0}",1.6874103623047019,0.7925366120228317,19,8.527199911857931,-18.931890417220785
st-trail,3,2021-07-01,2023-06-30,2023-07-01,2023-12-31,"{""st_period"": 10, ""st_multiplier"": 2.5, ""st_trail_atr"": 3.0}",0.392286995026874,-0.8012917961028099,33,-17.17811155948744,-23.420628341523788
st-trail,4,2022-01-01,2023-12-31,2024-01-01,2024-06-30,"{""st_period"": 10, ""st_multiplier"": 2.5, ""st_trail_atr"": 4.0}",1.7658821258742712,0.814887179604229,19,23.597670237534807,-25.25982391717442
st-trail,5,2022-07-01,2024-06-30,2024-07-01,2024-12-31,"{""st_period"": 14, ""st_multiplier"": 3.5, ""st_trail_atr"": 4.0}",1.760475264390596,1.0917884183136772,20,26.712897711046924,-12.485804309662573
st-trail,6,2023-01-01,2024-12-31,2025-01-01,2025-06-30,"{""st_period"": 10, ""st_multiplier"": 3.5, ""st_trail_atr"": 4.0}",0.2414957813533653,-1.4526396009199805,20,-20.26237314610787,-29.25566017875645
st-trail,7,2023-07-01,2025-06-30,2025-07-01,2025-12-31,"{""st_period"": 14, ""st_multiplier"": 3.5, ""st_trail_atr"": 4.0}",0.2860578407319813,-1.1588773129737384,19,-17.787105949754956,-20.77416926694481
supertrend::long,0,2020-01-01,2021-12-31,2022-01-01,2022-06-30,"{""_st_long_only"": true, ""st_period"": 7, ""st_multiplier"": 2.5}",1.1275311249199345,0.09730164965597865,16,-3.511632944147336,-15.854487954369212
supertrend::long,1,2020-07-01,2022-06-30,2022-07-01,2022-12-31,"{""_st_long_only"": true, ""st_period"": 7, ""st_multiplier"": 2.5}",1.0854146756423353,0.037069791585042644,16,-2.07236447693544,-13.686932631775782
supertrend::long,2,2021-01-01,2022-12-31,2023-01-01,2023-06-30,"{""_st_long_only"": true, ""st_period"": 7, ""st_multiplier"": 2.5}",1.4342782640277298,0.49529833675303614,13,7.777876586437893,-14.994914810312743
supertrend::long,3,2021-07-01,2023-06-30,2023-07-01,2023-12-31,"{""_st_long_only"": true, ""st_period"": 7, ""st_multiplier"": 4.0}",0.3626496382208505,-0.924426722747218,8,-6.536197328627935,-7.36111571941046
supertrend::long,4,2022-01-01,2023-12-31,2024-01-01,2024-06-30,"{""_st_long_only"": true, ""st_period"": 7, ""st_multiplier"": 4.0}",0.47952710475029103,-1.2010223292539424,7,-6.18556396358747,-7.85609079763222
supertrend::long,5,2022-07-01,2024-06-30,2024-07-01,2024-12-31,"{""_st_long_only"": true, ""st_period"": 14, ""st_multiplier"": 4.0}",2.0104604738694887,1.3934612384607803,9,15.68547559997031,-7.622380559484321
supertrend::long,6,2023-01-01,2024-12-31,2025-01-01,2025-06-30,"{""_st_long_only"": true, ""st_period"": 14, ""st_multiplier"": 4.0}",0.5787790751799647,-0.7965660988922596,10,-7.394320293466494,-12.906978633176703
supertrend::long,7,2023-07-01,2025-06-30,2025-07-01,2025-12-31,"{""_st_long_only"": true, ""st_period"": 10, ""st_multiplier"": 4.0}",0.6069166450115526,-0.6181333486518836,9,-2.8111735811749528,-7.7399375099920675
st-adx::long,0,2020-01-01,2021-12-31,2022-01-01,2022-06-30,"{""_st_long_only"": true, ""st_period"": 14, ""st_multiplier"": 3.5, ""st_adx_min"": 20}",0.6636855338159434,-1.183619155339355,6,-4.180616770381884,-6.416623037529645
st-adx::long,1,2020-07-01,2022-06-30,2022-07-01,2022-12-31,"{""_st_long_only"": true, ""st_period"": 10, ""st_multiplier"": 2.5, ""st_adx_min"": 25}",0.12462234552475261,-1.2826998090415542,6,-6.860035353737814,-10.843286435203458
st-adx::long,2,2021-01-01,2022-12-31,2023-01-01,2023-06-30,"{""_st_long_only"": true, ""st_period"": 10, ""st_multiplier"": 2.5, ""st_adx_min"": 15}",1.0916186360553226,0.06332644834778911,13,-0.7393203381156233,-13.308493452360748
st-adx::long,3,2021-07-01,2023-06-30,2023-07-01,2023-12-31,"{""_st_long_only"": true, ""st_period"": 10, ""st_multiplier"": 3.5, ""st_adx_min"": 15}",0.3528558894356003,-0.9507652947625789,9,-7.790241336213166,-10.835140334211523
st-adx::long,4,2022-01-01,2023-12-31,2024-01-01,2024-06-30,"{""_st_long_only"": true, ""st_period"": 10, ""st_multiplier"": 2.5, ""st_adx_min"": 20}",0.22458765382237417,-1.1006340302019746,8,-6.332622765191164,-9.961100792378963
st-adx::long,5,2022-07-01,2024-06-30,2024-07-01,2024-12-31,"{""_st_long_only"": true, ""st_period"": 10, ""st_multiplier"": 3.5, ""st_adx_min"": 25}",0.9396157454812541,-0.24943812604142357,3,2.187609167310489,-5.211315619618661
st-adx::long,6,2023-01-01,2024-12-31,2025-01-01,2025-06-30,"{""_st_long_only"": true, ""st_period"": 10, ""st_multiplier"": 3.5, ""st_adx_min"": 25}",0.22076817242062566,-1.9820030965063684,5,-5.6932128289637784,-8.02435347388667
st-adx::long,7,2023-07-01,2025-06-30,2025-07-01,2025-12-31,"{""_st_long_only"": true, ""st_period"": 14, ""st_multiplier"": 3.0, ""st_adx_min"": 20}",0.30192948761440225,-1.209311264342816,7,-5.858293512026891,-7.09028134719717
